contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
89 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
1 sudoku grid 
Those grid are read from file in resources/sudoku/grid.txt
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
20         92         36         0          45         4761       81             --------- 44.44            
50         92         36         0          45         4761       81             --------- 44.44            
2          94         7          21         8          1268       36             ---- 19.44                 
5          94         2          14         20         1106       36             -- 5.56                    
10         94         0          0          36         666        36              0.00                      
20         94         0          0          36         666        36              0.00                      
50         94         0          0          36         666        36              0.00                      
2          95         9          19         8          1171       36             ----- 25.00                
5          95         2          14         20         931        36             -- 5.56                    
10         95         0          0          36         666        36              0.00                      
20         95         0          0          36         666        36              0.00                      
50         95         0          0          36         666        36              0.00                      
2          96         0          28         8          1144       36              0.00                      
5          96         2          14         20         985        36             -- 5.56                    
10         96         0          0          36         666        36              0.00                      
20         96         0          0          36         666        36              0.00                      
50         96         0          0          36         666        36              0.00                      
2          98         60         77         28         26209      165            -------- 36.36             
5          98         32         50         83         21141      165            ---- 19.39                 
10         98         0          0          165        13695      165             0.00                      
20         98         0          0          165        13695      165             0.00                      
50         98         0          0          165        13695      165             0.00                      
2          99         63         68         34         25227      165            -------- 38.18             
5          99         32         38         95         19734      165            ---- 19.39                 
10         99         0          0          165        13695      165             0.00                      
20         99         0          0          165        13695      165             0.00                      
50         99         0          0          165        13695      165             0.00                      
2          100        63         70         32         25796      165            -------- 38.18             
5          100        36         38         91         20122      165            ----- 21.82                
10         100        0          0          165        13695      165             0.00                      
20         100        0          0          165        13695      165             0.00                      
50         100        0          0          165        13695      165             0.00                      
2          101        63         68         34         25227      165            -------- 38.18             
5          101        32         38         95         19734      165            ---- 19.39                 
10         101        0          0          165        13695      165             0.00                      
20         101        0          0          165        13695      165             0.00                      
50         101        0          0          165        13695      165             0.00                      
2          103        46         101        18         27414      165            ------ 27.88               
5          103        25         57         83         22984      165            ---- 15.15                 
10         103        0          0          165        13695      165             0.00                      
20         103        0          0          165        13695      165             0.00                      
50         103        0          0          165        13695      165             0.00                      
2          104        59         72         34         23791      165            -------- 35.76             
5          104        36         34         95         18900      165            ----- 21.82                
10         104        0          0          165        13695      165             0.00                      
20         104        0          0          165        13695      165             0.00                      
50         104        0          0          165        13695      165             0.00                      
2          105        63         70         32         24018      165            -------- 38.18             
5          105        32         42         91         19998      165            ---- 19.39                 
10         105        0          0          165        13695      165             0.00                      
20         105        0          0          165        13695      165             0.00                      
50         105        0          0          165        13695      165             0.00                      
2          106        59         72         34         23791      165            -------- 35.76             
5          106        36         34         95         18900      165            ----- 21.82                
10         106        0          0          165        13695      165             0.00                      
20         106        0          0          165        13695      165             0.00                      
50         106        0          0          165        13695      165             0.00                      
2          108        88         49         28         25329      165            ----------- 53.33          
5          108        39         43         83         20422      165            ----- 23.64                
10         108        0          0          165        13695      165             0.00                      
20         108        0          0          165        13695      165             0.00                      
50         108        0          0          165        13695      165             0.00                      
2          109        90         69         6          27588      165            ----------- 54.55          
5          109        57         81         27         25902      165            ------- 34.55              
10         109        43         70         52         23156      165            ------ 26.06               
20         109        15         40         110        19323      165            -- 9.09                    
50         109        0          0          165        13695      165             0.00                      
2          110        65         66         34         25081      165            -------- 39.39             
5          110        36         44         85         21224      165            ----- 21.82                
10         110        0          0          165        13695      165             0.00                      
20         110        0          0          165        13695      165             0.00                      
50         110        0          0          165        13695      165             0.00                      
2          111        57         74         34         23321      165            ------- 34.55              
5          111        34         36         95         19064      165            ----- 20.61                
10         111        0          0          165        13695      165             0.00                      
20         111        0          0          165        13695      165             0.00                      
50         111        0          0          165        13695      165             0.00                      
2          112        64         69         32         24211      165            -------- 38.79             
5          112        38         36         91         19966      165            ----- 23.03                
10         112        0          0          165        13695      165             0.00                      
20         112        0          0          165        13695      165             0.00                      
50         112        0          0          165        13695      165             0.00                      
2          113        57         74         34         23321      165            ------- 34.55              
5          113        34         36         95         19064      165            ----- 20.61                
10         113        0          0          165        13695      165             0.00                      
20         113        0          0          165        13695      165             0.00                      
50         113        0          0          165        13695      165             0.00                      
