contains the data for the magnitude analysis graph.
SEPM
magnitude value : 2 5 10 20 50 
143 perturbation point
N Execution Enactor
PMAG : Numerical Perturbator
20 list of 100 number
Random numbers generated with 23 as seed
Magnitude  IndexLoc   #Success   #Failure   #Exception #Call      #Perturtions   %Success                   
50         77         7920       0          0          3136320    7920           -------------------- 100,00
2          78         0          0          20         20         20              0,00                      
5          78         0          0          20         20         20              0,00                      
10         78         0          0          20         20         20              0,00                      
20         78         0          0          20         20         20              0,00                      
50         78         0          0          20         20         20              0,00                      
2          79         20         0          0          20         20             -------------------- 100,00
5          79         20         0          0          20         20             -------------------- 100,00
10         79         20         0          0          20         20             -------------------- 100,00
20         79         20         0          0          20         20             -------------------- 100,00
50         79         20         0          0          20         20             -------------------- 100,00
2          80         0          0          20         20         20              0,00                      
5          80         0          0          20         20         20              0,00                      
10         80         0          0          20         20         20              0,00                      
20         80         0          0          20         20         20              0,00                      
50         80         0          0          20         20         20              0,00                      
2          81         20         0          0          20         20             -------------------- 100,00
5          81         20         0          0          20         20             -------------------- 100,00
10         81         20         0          0          20         20             -------------------- 100,00
20         81         20         0          0          20         20             -------------------- 100,00
50         81         20         0          0          20         20             -------------------- 100,00
2          82         20         0          0          20         20             -------------------- 100,00
5          82         20         0          0          20         20             -------------------- 100,00
10         82         20         0          0          20         20             -------------------- 100,00
20         82         20         0          0          20         20             -------------------- 100,00
50         82         20         0          0          20         20             -------------------- 100,00
2          83         20         0          0          20         20             -------------------- 100,00
5          83         20         0          0          20         20             -------------------- 100,00
10         83         20         0          0          20         20             -------------------- 100,00
20         83         20         0          0          20         20             -------------------- 100,00
50         83         20         0          0          20         20             -------------------- 100,00
2          84         20         0          0          20         20             -------------------- 100,00
5          84         20         0          0          20         20             -------------------- 100,00
10         84         20         0          0          20         20             -------------------- 100,00
20         84         20         0          0          20         20             -------------------- 100,00
50         84         20         0          0          20         20             -------------------- 100,00
2          85         20         0          0          20         20             -------------------- 100,00
5          85         20         0          0          20         20             -------------------- 100,00
10         85         20         0          0          20         20             -------------------- 100,00
20         85         20         0          0          20         20             -------------------- 100,00
50         85         20         0          0          20         20             -------------------- 100,00
2          86         20         0          0          20         20             -------------------- 100,00
5          86         20         0          0          20         20             -------------------- 100,00
10         86         20         0          0          20         20             -------------------- 100,00
20         86         20         0          0          20         20             -------------------- 100,00
50         86         20         0          0          20         20             -------------------- 100,00
2          87         20         0          0          20         20             -------------------- 100,00
5          87         20         0          0          20         20             -------------------- 100,00
10         87         20         0          0          20         20             -------------------- 100,00
20         87         20         0          0          20         20             -------------------- 100,00
50         87         20         0          0          20         20             -------------------- 100,00
2          88         20         0          0          20         20             -------------------- 100,00
5          88         20         0          0          20         20             -------------------- 100,00
10         88         20         0          0          20         20             -------------------- 100,00
20         88         20         0          0          20         20             -------------------- 100,00
50         88         20         0          0          20         20             -------------------- 100,00
2          89         0          0          20         20         20              0,00                      
5          89         0          0          20         20         20              0,00                      
10         89         0          0          20         20         20              0,00                      
20         89         0          0          20         20         20              0,00                      
50         89         0          0          20         20         20              0,00                      
2          90         20         0          0          20         20             -------------------- 100,00
5          90         20         0          0          20         20             -------------------- 100,00
10         90         20         0          0          20         20             -------------------- 100,00
20         90         20         0          0          20         20             -------------------- 100,00
50         90         20         0          0          20         20             -------------------- 100,00
2          91         0          0          20         20         20              0,00                      
5          91         0          0          20         20         20              0,00                      
10         91         0          0          20         20         20              0,00                      
20         91         0          0          20         20         20              0,00                      
50         91         0          0          20         20         20              0,00                      
2          92         20         0          0          20         20             -------------------- 100,00
5          92         20         0          0          20         20             -------------------- 100,00
10         92         20         0          0          20         20             -------------------- 100,00
20         92         20         0          0          20         20             -------------------- 100,00
50         92         20         0          0          20         20             -------------------- 100,00
2          93         20         0          0          20         20             -------------------- 100,00
5          93         20         0          0          20         20             -------------------- 100,00
10         93         20         0          0          20         20             -------------------- 100,00
20         93         20         0          0          20         20             -------------------- 100,00
50         93         20         0          0          20         20             -------------------- 100,00
2          94         20         0          0          20         20             -------------------- 100,00
5          94         20         0          0          20         20             -------------------- 100,00
10         94         20         0          0          20         20             -------------------- 100,00
20         94         20         0          0          20         20             -------------------- 100,00
50         94         20         0          0          20         20             -------------------- 100,00
2          95         20         0          0          20         20             -------------------- 100,00
5          95         20         0          0          20         20             -------------------- 100,00
10         95         20         0          0          20         20             -------------------- 100,00
20         95         20         0          0          20         20             -------------------- 100,00
50         95         20         0          0          20         20             -------------------- 100,00
2          96         20         0          0          20         20             -------------------- 100,00
5          96         20         0          0          20         20             -------------------- 100,00
10         96         20         0          0          20         20             -------------------- 100,00
20         96         20         0          0          20         20             -------------------- 100,00
50         96         20         0          0          20         20             -------------------- 100,00
2          97         20         0          0          20         20             -------------------- 100,00
5          97         20         0          0          20         20             -------------------- 100,00
10         97         20         0          0          20         20             -------------------- 100,00
20         97         20         0          0          20         20             -------------------- 100,00
50         97         20         0          0          20         20             -------------------- 100,00
2          98         20         0          0          20         20             -------------------- 100,00
5          98         20         0          0          20         20             -------------------- 100,00
10         98         20         0          0          20         20             -------------------- 100,00
20         98         20         0          0          20         20             -------------------- 100,00
50         98         20         0          0          20         20             -------------------- 100,00
2          99         20         0          0          20         20             -------------------- 100,00
5          99         20         0          0          20         20             -------------------- 100,00
10         99         20         0          0          20         20             -------------------- 100,00
20         99         20         0          0          20         20             -------------------- 100,00
50         99         20         0          0          20         20             -------------------- 100,00
2          100        20         0          0          20         20             -------------------- 100,00
5          100        20         0          0          20         20             -------------------- 100,00
10         100        20         0          0          20         20             -------------------- 100,00
20         100        20         0          0          20         20             -------------------- 100,00
50         100        20         0          0          20         20             -------------------- 100,00
2          101        11         0          9          20         20             ------------ 55,00         
5          101        5          0          15         20         20             ----- 25,00                
10         101        3          0          17         20         20             --- 15,00                  
20         101        4          0          16         20         20             ---- 20,00                 
50         101        2          0          18         20         20             -- 10,00                   
2          102        0          0          20         20         20              0,00                      
5          102        0          0          20         20         20              0,00                      
10         102        0          0          20         20         20              0,00                      
20         102        0          0          20         20         20              0,00                      
50         102        0          0          20         20         20              0,00                      
2          103        20         0          0          20         20             -------------------- 100,00
5          103        20         0          0          20         20             -------------------- 100,00
10         103        20         0          0          20         20             -------------------- 100,00
20         103        20         0          0          20         20             -------------------- 100,00
50         103        20         0          0          20         20             -------------------- 100,00
2          104        20         0          0          20         20             -------------------- 100,00
5          104        20         0          0          20         20             -------------------- 100,00
